"",temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
0,5.7,75.6,3.8,4.3,0.0,2170-01-01,1,0.62,231.56,182.37,3
1,5.7,75.6,3.8,4.3,0.0,2170-01-01,2,0.94,248.2,903.2,2
2,5.7,75.6,3.8,4.3,0.0,2170-01-01,3,0.95,240.55,363.06,2
3,5.7,75.6,3.8,4.3,0.0,2170-01-01,4,0.39,159.1,473.93,3
4,5.7,75.6,3.8,4.3,0.0,2170-01-01,5,0.41,143.29,475.72,0
1210,8.3,62.4,9.3,16.1,0.0,2170-01-02,1,0.97,243.21,51.05,2
1211,8.3,62.4,9.3,16.1,0.0,2170-01-02,2,0.93,296.94,450.04,3
1212,8.3,62.4,9.3,16.1,0.0,2170-01-02,3,0.65,212.5,204.88,2
1213,8.3,62.4,9.3,16.1,0.0,2170-01-02,4,0.36,102.09,231.28,3
1214,8.3,62.4,9.3,16.1,0.0,2170-01-02,5,0.58,102.71,117.68,0
2435,7.2,64.4,3.4,4.1,0.0,2170-01-03,1,0.82,247.51,651.25,3
2436,7.2,64.4,3.4,4.1,0.0,2170-01-03,2,0.65,163.94,273.09,0
2437,7.2,64.4,3.4,4.1,0.0,2170-01-03,3,0.51,213.7,421.72,3
2438,7.2,64.4,3.4,4.1,0.0,2170-01-03,4,0.58,151.46,618.95,0
2439,7.2,64.4,3.4,4.1,0.0,2170-01-03,5,0.61,168.98,78.08,3
2715,6.8,63.0,3.2,4.1,0.0,2170-01-04,1,0.89,231.38,293.83,2
2716,6.8,63.0,3.2,4.1,0.0,2170-01-04,2,0.87,249.47,858.37,1
2717,6.8,63.0,3.2,4.1,0.0,2170-01-04,3,0.56,195.73,493.99,3
2718,6.8,63.0,3.2,4.1,0.0,2170-01-04,4,0.52,135.98,614.2,0
2719,6.8,63.0,3.2,4.1,0.0,2170-01-04,5,0.51,105.06,456.63,0
2825,9.2,65.9,3.7,5.7,0.0,2170-01-05,1,0.62,289.34,784.64,2
2826,9.2,65.9,3.7,5.7,0.0,2170-01-05,2,0.82,206.06,564.73,1
2827,9.2,65.9,3.7,5.7,0.0,2170-01-05,3,0.96,162.04,2.84,3
2828,9.2,65.9,3.7,5.7,0.0,2170-01-05,4,0.32,196.66,137.99,0
2829,9.2,65.9,3.7,5.7,0.0,2170-01-05,5,0.5,148.15,897.73,0
2935,5.5,62.1,2.5,1.4,0.0,2170-01-06,1,0.93,157.8,24.28,3
2936,5.5,62.1,2.5,1.4,0.0,2170-01-06,2,0.93,202.21,917.42,1
2937,5.5,62.1,2.5,1.4,0.0,2170-01-06,3,0.8,271.9,764.99,2
2938,5.5,62.1,2.5,1.4,0.0,2170-01-06,4,0.61,178.17,272.18,3
2939,5.5,62.1,2.5,1.4,0.0,2170-01-06,5,0.53,188.69,503.14,0
3050,5.7,72.2,3.1,3.7,0.0,2170-01-07,1,0.75,172.34,466.87,3
3051,5.7,72.2,3.1,3.7,0.0,2170-01-07,2,0.51,166.94,181.45,0
3052,5.7,72.2,3.1,3.7,0.0,2170-01-07,3,0.74,225.39,393.16,2
3053,5.7,72.2,3.1,3.7,0.0,2170-01-07,4,0.63,102.15,320.29,0
3054,5.7,72.2,3.1,3.7,0.0,2170-01-07,5,0.66,147.29,198.74,0
3165,8.5,62.9,3.2,2.8,0.0,2170-01-08,1,0.6,275.74,249.09,3
3166,8.5,62.9,3.2,2.8,0.0,2170-01-08,2,0.54,162.96,347.96,0
3167,8.5,62.9,3.2,2.8,0.0,2170-01-08,3,0.58,215.81,341.24,3
3168,8.5,62.9,3.2,2.8,0.0,2170-01-08,4,0.63,178.24,502.82,0
3169,8.5,62.9,3.2,2.8,0.0,2170-01-08,5,0.42,154.08,317.34,0
3280,6.0,64.9,3.2,2.9,0.0,2170-01-09,1,0.9,241.31,425.07,3
3281,6.0,64.9,3.2,2.9,0.0,2170-01-09,2,0.72,272.31,57.89,1
3282,6.0,64.9,3.2,2.9,0.0,2170-01-09,3,0.92,176.5,750.79,3
3283,6.0,64.9,3.2,2.9,0.0,2170-01-09,4,0.68,135.03,376.47,0
3284,6.0,64.9,3.2,2.9,0.0,2170-01-09,5,0.47,111.4,149.68,0
115,10.9,67.6,5.8,8.7,0.0,2170-01-10,1,0.81,246.86,564.1,2
116,10.9,67.6,5.8,8.7,0.0,2170-01-10,2,0.97,175.68,788.14,0
117,10.9,67.6,5.8,8.7,0.0,2170-01-10,3,0.97,151.91,523.93,3
118,10.9,67.6,5.8,8.7,0.0,2170-01-10,4,0.58,162.13,95.15,0
119,10.9,67.6,5.8,8.7,0.0,2170-01-10,5,0.38,122.53,35.19,3
225,6.4,69.4,7.3,12.9,0.0,2170-01-11,1,0.72,269.53,385.91,3
226,6.4,69.4,7.3,12.9,0.0,2170-01-11,2,0.85,151.32,112.31,3
227,6.4,69.4,7.3,12.9,0.0,2170-01-11,3,0.96,298.06,162.92,2
228,6.4,69.4,7.3,12.9,0.0,2170-01-11,4,0.49,153.48,467.47,0
229,6.4,69.4,7.3,12.9,0.0,2170-01-11,5,0.37,109.78,229.14,3
330,12.0,59.7,8.3,14.4,0.0,2170-01-12,1,0.77,264.59,737.99,2
331,12.0,59.7,8.3,14.4,0.0,2170-01-12,2,0.66,163.64,338.28,0
332,12.0,59.7,8.3,14.4,0.0,2170-01-12,3,0.98,255.88,347.93,2
333,12.0,59.7,8.3,14.4,0.0,2170-01-12,4,0.53,134.69,850.15,0
334,12.0,59.7,8.3,14.4,0.0,2170-01-12,5,0.58,148.72,693.65,3
440,13.4,72.6,14.1,20.6,0.0,2170-01-13,1,0.72,181.52,574.82,3
441,13.4,72.6,14.1,20.6,0.0,2170-01-13,2,0.81,276.91,17.9,1
442,13.4,72.6,14.1,20.6,0.0,2170-01-13,3,0.65,186.46,428.49,3
443,13.4,72.6,14.1,20.6,0.0,2170-01-13,4,0.65,133.56,890.15,0
444,13.4,72.6,14.1,20.6,0.0,2170-01-13,5,0.61,179.29,105.08,3
550,11.8,68.4,12.5,20.4,0.0,2170-01-14,1,0.83,159.09,545.31,3
551,11.8,68.4,12.5,20.4,0.0,2170-01-14,2,0.58,220.15,395.81,0
552,11.8,68.4,12.5,20.4,0.0,2170-01-14,3,0.57,186.29,680.57,3
553,11.8,68.4,12.5,20.4,0.0,2170-01-14,4,0.56,198.64,63.72,3
554,11.8,68.4,12.5,20.4,0.0,2170-01-14,5,0.53,174.68,477.97,0
660,11.8,70.3,10.1,20.4,0.0,2170-01-15,1,0.66,231.06,788.34,3
661,11.8,70.3,10.1,20.4,0.0,2170-01-15,2,0.86,241.75,136.27,0
662,11.8,70.3,10.1,20.4,0.0,2170-01-15,3,0.65,175.99,26.2,3
